Industrial Classification,2068/69,2069/70,2070/71,2071/72,2072/73,2073/74,2074/75,2075/76,2076/77,2077/78,2078/79 ,2079/80 
"Agriculture, forestry and fishing",5.29,1.31,4.49,1.20,-0.08,5.17,2.61,5.16,2.43,2.85,2.24,2.73
Mining and quarrying,5.17,2.27,11.50,3.15,-2.69,14.60,9.40,17.62,-2.23,4.65,8.84,1.11
Manufacturing,10.10,2.89,6.05,0.06,-9.51,16.83,9.21,6.52,-9.03,8.66,6.74,-2.04
"Electricity",15.03,0.86,3.78,0.65,-8.61,22.84,10.38,9.61,19.51,4.18,53.35,19.36
Water supply,9.68,9.87,9.20,10.10,7.33,3.03,4.57,1.22,2.15,1.35,2.02,2.16
Construction,0.26,2.30,8.96,3.07,0.12,18.68,12.10,7.48,-4.39,7.00,7.08,-2.62
Wholesale and retail trade,2.75,2.74,6.07,4.19,-2.56,10.71,17.23,8.11,-11.39,6.64,7.46,-2.96
Transportation and storage,6.88,8.26,6.39,5.90,0.17,4.41,11.68,8.77,-11.79,4.44,4.61,1.14
Accommodation and food service activities,6.28,6.92,1.50,5.41,-7.98,13.39,12.21,9.92,-36.78,10.73,12.61,18.56
Information and communication,27.50,10.68,25.95,10.59,1.69,13.65,2.14,7.05,2.02,3.67,4.13,4.07
Financial and insurance activities,1.82,1.93,6.50,6.89,8.90,9.80,9.43,6.35,-0.35,4.66,6.88,7.29
Real estate activities,1.41,1.88,1.61,1.50,0.39,4.05,1.56,3.75,2.08,2.77,1.63,2.17
"Professional, scientific and technical activities",5.20,4.79,6.72,7.41,1.93,8.71,4.95,5.61,1.52,1.51,3.50,4.30
Administrative and support service activities,8.31,14.19,15.80,11.65,11.96,16.28,18.62,6.44,2.19,2.30,2.19,5.01
Public administration and defence,3.45,5.11,4.91,8.15,2.05,8.03,4.71,5.12,6.16,3.38,4.08,5.30
Education,5.61,5.82,4.95,5.48,7.15,7.21,5.83,5.98,3.20,3.92,4.66,4.07
Human health and social work ,4.63,3.57,3.04,10.62,3.34,7.40,5.87,6.69,5.20,6.60,6.99,6.51
"Arts, entertainment and recreation",4.50,3.62,3.62,8.72,4.52,4.69,4.63,5.92,1.77,3.38,4.48,5.21
Non-Agriculture,4.78,3.97,6.36,4.63,0.04,10.18,9.50,6.90,-4.42,5.21,6.56,1.92