Sectors,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Agriculture,14290.9,14191.6,23407.3,31531.3,40270.1,50706.2,61125.1,75349.9,116435.9,166038.3,201758.4,290976.4,350134.8
Mines,2019.8,2204.8,2358.7,3487.1,3254.7,3064.1,2970.7,3467.8,4420.3,6886.9,6217.9,8227.8,8386.0
Production,94713.7,115186.0,143972.2,176661.9,207428.2,239722.8,278304.2,315942.2,380563.6,452451.5,509960.1,618935.8,664949.8
Construction,49568.0,51590.8,61312.2,71712.8,88740.6,115175.7,142303.5,178777.2,212488.1,251365.5,295117.0,352884.1,357222.6
Metal Productions,5877.8,6418.8,8401.6,10044.4,10929.4,12402.2,16327.5,22633.5,29802.9,32234.7,42906.3,59250.2,69958.5
Transportation Equipment Production,10546.4,12013.8,12784.0,12666.2,15488.6,14377.2,21519.9,24205.9,27191.7,31938.8,40827.1,45520.6,48094.3
Transportation Communications & Public Services,22276.0,19811.8,25174.7,30151.6,31411.1,41289.5,63828.5,87610.2,112257.3,151321.0,191281.2,235903.2,274631.6
Wholesaler & Retailers,88584.1,109211.5,129249.1,161588.2,205415.0,256252.5,330886.8,397945.2,483927.4,550984.8,605155.2,762837.3,866464.0
Finance Insurance & Fixed Assets,54093.3,57934.2,62184.8,66079.6,72813.9,89220.3,114517.9,148589.2,179843.1,200565.0,222514.6,287831.0,315352.7
Service Industries,29605.4,36504.9,45811.0,56855.0,68629.5,88438.0,103953.8,137177.5,174628.6,215276.9,271165.0,329582.7,352988.2
Consumable Loan,22694.9,22359.7,27047.5,33484.2,39366.4,43035.7,50324.5,70022.5,70054.5,70380.3,75578.0,128857.1,157464.5
Local Government,3087.7,1107.1,1271.7,1176.3,1096.2,1621.8,1576.2,1506.9,1499.9,1512.8,1538.9,1493.5,1081.2
Others,71973.9,77695.6,79562.8,101651.8,116164.9,147836.8,204864.1,272670.8,319217.0,367036.7,439568.5,594679.0,511215.0