Province,District,Sheeps No.,Sheep Wool Produced
KOSHI,BHOJPUR,6141,4191
KOSHI,DHANKUTA,571,386
KOSHI,ILAM,132,86
KOSHI,JHAPA,41,16
KOSHI,KHOTANG,5910,4006
KOSHI,MORANG,423,189
KOSHI,OKHALDHUNGA,7509,5342
KOSHI,PANCHTHAR,1224,854
KOSHI,SANKHUWASABHA,12462,8972
KOSHI,SOLUKHUMBU,8375,5839
KOSHI,SUNSARI,2773,1175
KOSHI,TAPLEJUNG,5199,3787
KOSHI,TERHATHUM,5058,3809
KOSHI,UDAYAPUR,764,493
MADHESH,SAPTARI,2319,957
MADHESH,SARLAHI,1030,446
MADHESH,SIRAHA,1070,474
BAGMATI,BHAKTAPUR,1023,555
BAGMATI,CHITWAN,3087,1717
BAGMATI,DHADING,9512,6589
BAGMATI,DOLAKHA,11133,7534
BAGMATI,KATHMANDU,1190,670
BAGMATI,KABHREPALANCHOK,3719,2073
BAGMATI,LALITPUR,2400,1127
BAGMATI,MAKWANPUR,2857,1424
BAGMATI,NUWAKOT,14428,12913
BAGMATI,RAMECHHAP,2495,1769
BAGMATI,RASUWA,26897,18695
BAGMATI,SINDHULI,465,292
BAGMATI,SINDHUPALCHOK,9808,7569
GANDAKI,BAGLUNG,8786,6365
GANDAKI,GORKHA,17450,13610
GANDAKI,KASKI,12353,7176
GANDAKI,LAMJUNG,12287,7677
GANDAKI,MANANG,2726,2548
GANDAKI,MUSTANG,4368,3890
GANDAKI,MYAGDI,25576,20954
GANDAKI,NAWALPARASI EAST,2177,1054
GANDAKI,PARBAT,2805,2226
GANDAKI,SYANGJA,2157,1578
GANDAKI,TANAHUN,669,459
LUMBINI,ARGHAKHANCHI,1100,846
LUMBINI,BANKE,9970,4849
LUMBINI,BARDIYA,11574,5287
LUMBINI,DANG,32530,13842
LUMBINI,GULMI,6099,4779
LUMBINI,KAPILBASTU,12215,5569
LUMBINI,NAWALPARASI WEST,2939,1190
LUMBINI,PALPA,2652,1738
LUMBINI,PYUTHAN,13217,8836
LUMBINI,ROLPA,13451,10192
LUMBINI,RUKUM EAST,21512,14229
LUMBINI,RUPANDEHI,4294,2034
KARNALI,DAILEKH,15775,11232
KARNALI,DOLPA,36256,30406
KARNALI,HUMla,28969,24139
KARNALI,JAJARKOT,24740,19619
KARNALI,JUMLA,76583,68984
KARNALI,KALIKOT,33888,28688
KARNALI,MUGU,39795,35177
KARNALI,RUKUM WEST,26461,19641
KARNALI,SALYAN,14807,10471
KARNALI,SURKHET,6003,4456
SUDURPASCHIM,ACHHAM,3186,2429
SUDURPASCHIM,BAITADI,535,416
SUDURPASCHIM,BAJHANG,26574,22837
SUDURPASCHIM,BAJURA,19763,16750
SUDURPASCHIM,DADELDHURA,445,344
SUDURPASCHIM,DARCHULA,22966,17604
SUDURPASCHIM,DOTI,665,452
SUDURPASCHIM,KAILALI,14635,6223
SUDURPASCHIM,KANCHANPUR,4666,2025